Festival,Year,Award,Award Category,Title,Winner,Length,Directors,Countries,URL
Berlin International Film Festival,2015,Golden Berlin Bear,,Taxi Tehran,True,1 hour 22 minutes,Jafar Panahi,Iran,https://www.imdb.com/title/tt4359416/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,45 Years,False,1 hour 35 minutes,Andrew Haigh,United Kingdom,https://www.imdb.com/title/tt3544082/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,Aferim!,False,1 hour 48 minutes,Radu Jude,"Romania,Bulgaria,Czech Republic,France",https://www.imdb.com/title/tt4374460/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,As We Were Dreaming,False,1 hour 57 minutes,Andreas Dresen,"Germany,France",https://www.imdb.com/title/tt3306858/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,"Big Father, Small Father and Other Stories",False,1 hour 42 minutes,Dang Di Phan,"Vietnam,France,Germany,Netherlands",https://www.imdb.com/title/tt3867606/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,Body,False,1 hour 30 minutes,Malgorzata Szumowska,Poland,https://www.imdb.com/title/tt4358230/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,Chasuke's Journey,False,1 hour 46 minutes,Sabu,Japan,https://www.imdb.com/title/tt3560464/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,Diary of a Chambermaid,False,1 hour 36 minutes,Benoît Jacquot,"France,Belgium",https://www.imdb.com/title/tt2711898/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,Eisenstein in Guanajuato,False,1 hour 45 minutes,Peter Greenaway,"Netherlands,Belgium,Finland,Mexico,France",https://www.imdb.com/title/tt1702429/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,Endless Night,False,1 hour 44 minutes,Isabel Coixet,"Spain,France,Bulgaria",https://www.imdb.com/title/tt2735996/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,Gone with the Bullets,False,2 hours 20 minutes,Wen Jiang,"China,United States,Hong Kong",https://www.imdb.com/title/tt2168000/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,Ixcanul,False,1 hour 33 minutes,Jayro Bustamante,"Guatemala,France",https://www.imdb.com/title/tt4135844/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,Knight of Cups,False,1 hour 58 minutes,Terrence Malick,United States,https://www.imdb.com/title/tt2101383/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,Queen of the Desert,False,2 hours 8 minutes,Werner Herzog,"United States,Morocco",https://www.imdb.com/title/tt1837636/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,Sworn Virgin,False,1 hour 24 minutes,Laura Bispuri,"Italy,Switzerland,Germany,Albania,Kosovo,France",https://www.imdb.com/title/tt3646344/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,The Club,False,1 hour 38 minutes,Pablo Larraín,Chile,https://www.imdb.com/title/tt4375438/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,The Pearl Button,False,1 hour 22 minutes,Patricio Guzmán,"France,Spain,Chile,Switzerland",https://www.imdb.com/title/tt4377864/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,Under Electric Clouds,False,2 hours 18 minutes,Aleksey German Jr.,"Russia,Ukraine,Poland",https://www.imdb.com/title/tt4285198/?ref_=ev_nom
Berlin International Film Festival,2015,Golden Berlin Bear,,Victoria,False,2 hours 18 minutes,Sebastian Schipper,Germany,https://www.imdb.com/title/tt4226388/?ref_=ev_nom
